,City,Lat,Long,Max Temp (F),Humidity (%),Cloudiness (%),Windspeed (mph),Country,Date
0,Pervomayskoye,43.919,46.7102,46.96,83,92,5.93,RU,1619574072
1,Alakurtti,66.9672,30.3491,19.0,93,82,4.0,RU,1619574073
2,Longyearbyen,78.2186,15.6401,17.6,73,40,3.44,SJ,1619574073
3,Pisco,-13.7,-76.2167,64.99,94,0,10.36,PE,1619574073
4,Hobart,-42.8794,147.3294,64.0,63,75,9.22,AU,1619573946
5,Rikitea,-23.1203,-134.9692,76.91,75,100,12.44,PF,1619574074
6,Avarua,-21.2078,-159.775,82.4,78,90,8.05,CK,1619574074
7,Upernavik,72.7868,-56.1549,25.52,91,99,7.65,GL,1619574075
8,Albany,42.6001,-73.9662,54.0,44,73,1.23,US,1619574012
9,Hong Kong,22.2855,114.1577,78.01,86,96,1.01,HK,1619573874
10,Havelock,34.8791,-76.9013,70.0,77,1,16.11,US,1619574075
11,Srednekolymsk,67.45,153.6833,30.94,88,32,5.39,RU,1619574076
12,Merauke,-8.4667,140.3333,84.36,70,26,5.41,ID,1619574076
13,Coria,39.9879,-6.5377,53.01,90,60,1.01,ES,1619574076
14,Avtury,43.16,46.0,48.2,87,0,6.71,RU,1619574077
15,Ylivieska,64.0833,24.55,30.0,51,82,1.01,FI,1619574077
16,Khatanga,71.9667,102.5,28.49,79,93,6.91,RU,1619574078
17,Port Hardy,50.6996,-127.4199,48.2,100,90,2.3,CA,1619574078
18,Ushuaia,-54.8,-68.3,42.8,93,75,13.8,AR,1619574024
19,Isangel,-19.55,169.2667,78.8,73,40,11.5,VU,1619574079
20,Frontera,26.9333,-101.45,86.47,38,86,4.34,MX,1619574079
21,Nānākuli,21.3906,-158.1547,82.4,57,1,13.8,US,1619574079
22,Atuona,-9.8,-139.0333,80.15,71,21,13.35,PF,1619574080
23,Kysyl-Syr,63.8986,122.7617,24.04,71,36,7.87,RU,1619574080
24,Banda Aceh,5.5577,95.3222,83.8,70,88,6.06,ID,1619573993
25,Tiksi,71.6872,128.8694,16.61,80,100,11.88,RU,1619574081
26,Riyadh,24.6877,46.7219,84.2,21,75,11.5,SA,1619574004
27,General Roca,-39.0333,-67.5833,53.6,94,0,2.3,AR,1619574081
28,Butaritari,3.0707,172.7902,82.67,76,95,8.39,KI,1619574081
29,Vaini,-21.2,-175.2,75.2,83,75,12.66,TO,1619574082
30,Hilo,19.7297,-155.09,84.2,48,75,6.91,US,1619574082
31,New Norfolk,-42.7826,147.0587,64.0,69,97,1.01,AU,1619574083
32,Chornobay,49.6708,32.3239,35.02,69,0,4.21,UA,1619574083
33,Port-Gentil,-0.7193,8.7815,82.53,78,100,6.51,GA,1619574083
34,Padang,-0.9492,100.3543,78.8,89,40,3.44,ID,1619574084
35,Matagami,49.7502,-77.6328,46.4,29,90,4.61,CA,1619574084
36,Akdepe,42.0551,59.3788,62.6,50,0,2.3,TM,1619574085
37,Petropavlovsk-Kamchatskiy,53.0452,158.6483,42.8,81,40,11.18,RU,1619574085
38,Sharan,54.8167,54.0,38.21,88,40,9.66,RU,1619574085
39,Biak,-0.9131,122.8766,83.53,66,3,2.84,ID,1619574086
40,Derzhavīnsk,51.1,66.3167,52.05,83,63,14.34,KZ,1619574086
41,Assiut,27.181,31.1837,64.4,68,0,13.8,EG,1619574086
42,Lensk,60.7253,114.9278,28.67,71,85,2.53,RU,1619574087
43,Wodonga,-36.1167,146.8833,68.0,67,13,2.3,AU,1619574087
44,Hithadhoo,-0.6,73.0833,82.35,66,96,2.13,MV,1619574088
45,Puerto Ayora,-0.7393,-90.3518,75.31,90,42,6.69,EC,1619574069
46,Meadville,41.6414,-80.1515,73.4,35,1,4.61,US,1619573909
47,Hermanus,-34.4187,19.2345,53.01,90,56,4.7,ZA,1619574088
48,Quelimane,-17.8786,36.8883,72.46,93,12,3.91,MZ,1619574089
49,Portland,45.5234,-122.6762,66.2,42,75,4.61,US,1619573829
50,Lichtenburg,-26.152,26.1597,56.73,43,0,2.64,ZA,1619574089
51,Mahébourg,-20.4081,57.7,77.0,88,75,11.5,MU,1619574090
52,Sørland,67.667,12.6934,36.99,62,29,13.09,NO,1619574090
53,Tual,-5.6667,132.75,83.34,63,24,2.71,ID,1619574091
54,Gornopravdinsk,60.05,69.9,40.75,73,100,4.05,RU,1619574091
55,Yellowknife,62.456,-114.3525,19.4,45,75,13.8,CA,1619574091
56,Aitape,-3.1374,142.3475,85.57,67,13,3.98,PG,1619574092
57,East London,-33.0153,27.9116,64.17,72,99,8.34,ZA,1619574092
58,Mar del Plata,-38.0023,-57.5575,55.99,87,0,9.89,AR,1619573893
59,Port Lincoln,-34.7333,135.8667,69.37,45,97,3.96,AU,1619574093
60,Bethel,41.3712,-73.414,59.0,31,1,3.2,US,1619574093
61,Riedlingen,48.1545,9.4756,39.0,76,7,2.35,DE,1619574094
62,Saskylakh,71.9167,114.0833,29.53,88,99,12.19,RU,1619574094
